City,Latitude,Longitude
Albuquerque,35.0844,-106.6504
Atlanta,33.749,-84.388
Atlantic City,39.3643,-74.4229
Boise,43.615,-116.2023
Boston,42.3601,-71.0589
Charleston,32.7765,-79.9311
Chicago,41.8818,-87.6232
Dallas,32.7767,-96.797
Denver,39.7392,-104.9903
Des Moines,41.5868,-93.624
Detroit,42.3314,-83.0458
Jackson,32.2988,−90.1848
Las Vegas,36.1699,-115.1398
Los Angeles,34.0522,-118.2437
Memphis,35.1495,−90.0490
Miami,25.7617,-80.1918
Minneapolis,44.9778,-93.265
Montgomery,32.3792,-86.3077
New Orleans,29.9511,-90.0715
New York,40.7128,-74.006
Omaha,41.2565,-95.9345
Philadelphia,39.9526,-75.1652
Phoenix,33.4484,-112.074
Pittsburgh,40.4406,-79.9959
Portland,45.5051,-122.675
Salt Lake City,40.7608,-111.891
San Francisco,37.7749,-122.4194
Seattle,47.6062,-122.3321
Washington DC,38.8951,-77.0364
Wichita,37.6872,-97.3301
