Generation,BestTour
0,0,27,23,7,25,14,16,3,4,5,17,15,28,21,11,10,24,22,19,20,1,12,8,13,29,6,2,18,9,26,0,
100,0,13,8,25,14,24,15,17,5,27,22,16,28,21,23,1,29,20,19,12,4,11,6,10,3,2,7,9,26,18,0,
200,0,11,6,10,16,28,21,22,27,24,5,17,15,14,25,8,13,20,19,29,1,23,12,26,9,18,7,2,4,3,0,
300,0,11,10,6,28,21,16,5,27,22,24,17,15,14,8,13,25,20,29,1,19,9,26,18,7,2,12,23,4,3,0,
400,0,2,7,18,26,9,12,29,1,20,19,25,8,13,15,14,24,17,5,27,22,16,28,21,23,10,6,11,3,4,0,
500,0,7,2,18,26,9,12,29,1,19,20,25,8,13,15,14,24,17,5,27,22,21,28,16,10,6,11,23,3,4,0,
600,0,2,7,18,26,9,29,1,19,20,25,8,13,15,14,24,17,5,27,22,21,28,16,10,6,11,23,12,3,4,0,
700,0,2,7,18,26,9,12,29,19,1,20,25,8,13,15,14,24,17,5,27,22,21,28,16,10,6,11,23,3,4,0,
800,0,2,7,18,26,9,12,19,1,29,20,25,8,13,15,14,24,17,5,27,22,21,28,16,10,6,11,23,3,4,0,
900,0,2,7,18,26,9,12,19,29,1,20,25,8,13,15,14,24,17,5,27,22,21,28,16,10,6,11,23,3,4,0,
