Iteration,BestCost
0,42.1527
1000,34.7359
2000,32.2959
3000,30.4559
4000,30.4559
5000,30.4559
6000,30.4559
7000,30.4559
8000,30.4559
9000,30.4559
10000,30.4559
11000,30.4559
12000,30.4559
13000,30.4559
14000,30.4559
15000,30.4559
16000,30.4559
17000,29.0327
18000,29.0327
19000,29.0327
20000,29.0327
21000,29.0327
22000,29.0327
23000,29.0327
24000,28.4759
25000,28.4759
26000,28.4759
27000,28.0191
28000,28.0191
29000,26.9623
30000,24.2359
31000,23.4696
32000,23.4696
33000,23.4696
34000,23.2664
35000,18.1864
36000,18.1864
37000,18.1864
38000,18.1864
39000,18.1864
40000,17.8527
41000,17.2591
42000,17.2591
43000,16.7159
44000,16.7159
45000,16.1096
46000,15.4527
47000,12.8096
48000,12.8096
49000,12.8096
50000,12.8096
51000,10.3296
52000,8.18319
53000,7.88319
54000,7.22319
55000,7.22319
56000,7.22319
57000,6.62319
58000,6.62319
59000,6.62319
60000,6.62319
61000,6.28319
62000,6.28319
63000,6.28319
64000,6.28319
65000,6.28319
66000,6.28319
67000,6.28319
68000,6.28319
69000,6.28319
70000,6.28319
71000,6.28319
72000,6.28319
73000,6.28319
74000,6.28319
75000,6.28319
76000,6.28319
77000,6.28319
78000,6.28319
79000,6.28319
79999,6.28319
