Iteration,BestCostRank0,BestCostRank1,BestCostRank2,BestCostRank3
0,13.922,15.7476,15.3195,15.5897
1000,12.5794,12.5172,12.7186,12.6435
2000,11.5501,12.5172,12.7186,11.8762
3000,11.5501,12.3067,12.2758,11.8762
4000,11.5501,12.3067,11.212,11.8762
5000,10.9913,12.3067,11.212,11.8762
6000,10.9913,12.0211,11.212,11.8762
7000,10.9913,10.7623,11.212,11.7524
8000,10.9913,10.7623,11.212,11.7524
9000,9.76038,10.7623,11.1103,11.6582
10000,9.76038,10.7623,11.1103,10.7182
11000,9.0513,10.7623,9.99189,9.60077
12000,7.48449,8.79774,7.7451,8.9506
13000,6.09036,6.89032,6.20781,6.70024
14000,5.16864,6.0218,5.13953,5.96018
15000,4.80763,5.3351,4.71016,4.56154
16000,4.42312,4.37424,4.22667,4.31944
17000,4.21202,4.32039,4.13277,4.20006
18000,4.21202,4.28846,4.13277,4.15655
19000,4.21202,4.28846,4.13277,4.15655
20000,4.21202,4.28846,4.13277,4.13277
21000,4.21202,4.28846,4.13277,4.13277
22000,4.21202,4.28846,4.13277,4.13277
23000,4.21202,4.28846,4.13277,4.13277
24000,4.21202,4.28846,4.13277,4.13277
25000,4.21202,4.28846,4.13277,4.13277
26000,4.21202,4.28846,4.13277,4.13277
27000,4.21202,4.28846,4.13277,4.13277
28000,4.21202,4.28846,4.13277,4.13277
29000,4.21202,4.28846,4.13277,4.13277
30000,4.21202,4.28846,4.13277,4.13277
31000,4.21202,4.28846,4.13277,4.13277
32000,4.21202,4.28846,4.13277,4.13277
33000,4.21202,4.28846,4.13277,4.13277
34000,4.21202,4.28846,4.13277,4.13277
35000,4.21202,4.28846,4.13277,4.13277
36000,4.21202,4.28846,4.13277,4.13277
37000,4.21202,4.28846,4.13277,4.13277
38000,4.21202,4.28846,4.13277,4.13277
39000,4.21202,4.28846,4.13277,4.13277
40000,4.21202,4.28846,4.13277,4.13277
41000,4.21202,4.28846,4.13277,4.13277
42000,4.21202,4.28846,4.13277,4.13277
43000,4.21202,4.28846,4.13277,4.13277
44000,4.21202,4.28846,4.13277,4.13277
45000,4.21202,4.28846,4.13277,4.13277
46000,4.21202,4.28846,4.13277,4.13277
47000,4.21202,4.28846,4.13277,4.13277
48000,4.21202,4.28846,4.13277,4.13277
49000,4.21202,4.28846,4.13277,4.13277
50000,4.21202,4.28846,4.13277,4.13277
51000,4.21202,4.28846,4.13277,4.13277
52000,4.21202,4.28846,4.13277,4.13277
53000,4.21202,4.28846,4.13277,4.13277
54000,4.21202,4.28846,4.13277,4.13277
55000,4.21202,4.28846,4.13277,4.13277
56000,4.21202,4.28846,4.13277,4.13277
57000,4.21202,4.28846,4.13277,4.13277
58000,4.21202,4.28846,4.13277,4.13277
59000,4.21202,4.28846,4.13277,4.13277
60000,4.21202,4.28846,4.13277,4.13277
61000,4.21202,4.28846,4.13277,4.13277
62000,4.21202,4.28846,4.13277,4.13277
63000,4.21202,4.28846,4.13277,4.13277
64000,4.21202,4.28846,4.13277,4.13277
65000,4.21202,4.28846,4.13277,4.13277
66000,4.21202,4.28846,4.13277,4.13277
67000,4.21202,4.28846,4.13277,4.13277
68000,4.21202,4.28846,4.13277,4.13277
69000,4.21202,4.28846,4.13277,4.13277
70000,4.21202,4.28846,4.13277,4.13277
71000,4.21202,4.28846,4.13277,4.13277
72000,4.21202,4.28846,4.13277,4.13277
73000,4.21202,4.28846,4.13277,4.13277
74000,4.21202,4.28846,4.13277,4.13277
75000,4.21202,4.28846,4.13277,4.13277
76000,4.21202,4.28846,4.13277,4.13277
77000,4.21202,4.28846,4.13277,4.13277
78000,4.21202,4.28846,4.13277,4.13277
79000,4.21202,4.28846,4.13277,4.13277
80000,4.21202,4.28846,4.13277,4.13277
81000,4.21202,4.28846,4.13277,4.13277
82000,4.21202,4.28846,4.13277,4.13277
83000,4.21202,4.28846,4.13277,4.13277
84000,4.21202,4.28846,4.13277,4.13277
85000,4.21202,4.28846,4.13277,4.13277
86000,4.21202,4.28846,4.13277,4.13277
87000,4.21202,4.28846,4.13277,4.13277
88000,4.21202,4.28846,4.13277,4.13277
89000,4.21202,4.28846,4.13277,4.13277
90000,4.21202,4.28846,4.13277,4.13277
91000,4.21202,4.28846,4.13277,4.13277
92000,4.21202,4.28846,4.13277,4.13277
93000,4.21202,4.28846,4.13277,4.13277
94000,4.21202,4.28846,4.13277,4.13277
95000,4.21202,4.28846,4.13277,4.13277
96000,4.21202,4.28846,4.13277,4.13277
97000,4.21202,4.28846,4.13277,4.13277
98000,4.21202,4.28846,4.13277,4.13277
99000,4.21202,4.28846,4.13277,4.13277
100000,4.21202,4.28846,4.13277,4.13277
