Steps, <r>, Error
0,0,0
1,0.975495,0.00142252
2,1.12943,0.00254441
3,1.2443,0.00305318
4,1.33309,0.00355076
5,1.41979,0.00352791
6,1.47258,0.0037159
7,1.53073,0.00348586
8,1.57829,0.00379026
9,1.62737,0.00427951
10,1.6761,0.00429988
11,1.7065,0.00475228
12,1.74963,0.00564875
13,1.78405,0.00511954
14,1.81483,0.00399958
15,1.85012,0.00556512
16,1.89235,0.00470799
17,1.91154,0.00530004
18,1.93882,0.00513417
19,1.96923,0.00524133
20,1.97944,0.00434028
21,2.00735,0.00507337
22,2.03294,0.00505648
23,2.05627,0.00570378
24,2.0788,0.00559224
25,2.08932,0.00556208
26,2.1228,0.00602414
27,2.14426,0.00541074
28,2.15489,0.00592
29,2.18742,0.00592728
30,2.19774,0.0062196
31,2.21375,0.00617301
32,2.22605,0.005678
33,2.25059,0.00639698
34,2.26972,0.00534997
35,2.28756,0.00637403
36,2.30404,0.00585212
37,2.31189,0.00711467
38,2.33209,0.00646169
39,2.3368,0.00665517
40,2.36835,0.00760452
41,2.36903,0.00680333
42,2.38778,0.00615859
43,2.40454,0.00676718
44,2.41869,0.00699622
45,2.43533,0.00683589
46,2.44997,0.00562853
47,2.46391,0.00597364
48,2.47995,0.00708943
49,2.48571,0.00609557
50,2.49409,0.00666755
51,2.50814,0.0069106
52,2.53381,0.00745792
53,2.52936,0.00681052
54,2.5599,0.00579801
55,2.55961,0.00593503
56,2.56897,0.00633481
57,2.58351,0.00667566
58,2.58603,0.00632412
59,2.60354,0.00707786
60,2.61449,0.00699159
61,2.62079,0.0076412
62,2.64165,0.00614548
63,2.64395,0.00673453
64,2.64709,0.00714438
65,2.65367,0.00687437
66,2.66983,0.00755225
67,2.68517,0.00680038
68,2.69411,0.00650611
69,2.70216,0.00725198
70,2.71533,0.00704239
71,2.71407,0.00683225
72,2.73794,0.00876392
73,2.73763,0.0076855
74,2.74661,0.00695013
75,2.76461,0.00808174
76,2.7853,0.0074004
77,2.76977,0.00765886
78,2.79483,0.00766385
79,2.80099,0.00801577
80,2.81296,0.00701096
81,2.8195,0.00733874
82,2.8277,0.00829676
83,2.83785,0.00784047
84,2.8349,0.00706954
85,2.83915,0.00877849
86,2.86779,0.00637783
87,2.86449,0.0072416
88,2.88477,0.00748758
89,2.87191,0.00891491
90,2.88292,0.00758169
91,2.89067,0.00771198
92,2.91021,0.00812254
93,2.90549,0.00713988
94,2.91054,0.00773769
95,2.92824,0.00803281
96,2.93233,0.00723704
97,2.94281,0.00991585
98,2.94756,0.00814922
99,2.96224,0.0087523
100,2.96405,0.00738375
