Steps taken, Average distance walked, Error
0,0,nan
1,1,0
2,1.41322,0.00379346
3,1.73384,0.00611126
4,1.99208,0.0076428
5,2.23777,0.0082399
6,2.45328,0.0099198
7,2.66143,0.00907261
8,2.82708,0.0102659
9,3.00796,0.0122131
10,3.16651,0.0131725
11,3.33071,0.0148392
12,3.43855,0.0129559
13,3.58987,0.0147779
14,3.73842,0.0128938
15,3.89194,0.0148629
16,4.01647,0.0162951
17,4.16216,0.0163397
18,4.23571,0.0165355
19,4.36044,0.0196958
20,4.47623,0.0169101
21,4.59458,0.0200064
22,4.67833,0.0192141
23,4.81184,0.0193741
24,4.90903,0.0197851
25,4.9952,0.0210336
26,5.08075,0.0198156
27,5.19623,0.0211372
28,5.28326,0.0216322
29,5.38412,0.0200833
30,5.48968,0.020886
31,5.61252,0.0225341
32,5.65314,0.0223851
33,5.76231,0.022864
34,5.79588,0.0209756
35,5.96822,0.0245541
36,6.0185,0.0231607
37,6.09385,0.0251581
38,6.16157,0.0253689
39,6.2294,0.0211959
40,6.28347,0.0243779
41,6.36508,0.0247932
42,6.50942,0.0254457
43,6.50082,0.0271273
44,6.63795,0.028653
45,6.71857,0.0293411
46,6.80998,0.0334425
47,6.83757,0.0250667
48,6.91072,0.0278853
49,6.99853,0.0265562
50,7.05615,0.0296809
51,7.11985,0.025841
52,7.18063,0.0255123
53,7.27102,0.0309627
54,7.34545,0.0313431
55,7.41945,0.0309918
56,7.48373,0.0306113
57,7.56079,0.0264136
58,7.68068,0.0299772
59,7.71567,0.0285085
60,7.72288,0.0300928
61,7.80282,0.035393
62,7.93661,0.0312085
63,7.93418,0.0362891
64,7.95667,0.0333756
65,8.09996,0.0343913
66,8.11783,0.0339818
67,8.18115,0.03043
68,8.28564,0.0347118
69,8.33021,0.0292982
70,8.38098,0.0310382
71,8.41158,0.0371154
72,8.45605,0.0345588
73,8.55314,0.0346809
74,8.56928,0.0369141
75,8.65189,0.0390542
76,8.73192,0.0325834
77,8.7761,0.0366569
78,8.80994,0.0351447
79,8.87896,0.0369325
80,8.92826,0.0362983
81,8.96333,0.0328275
82,9.10305,0.0382419
83,9.10954,0.0382578
84,9.12717,0.0376008
85,9.19456,0.0389515
86,9.33746,0.0392108
87,9.31764,0.0348402
88,9.42211,0.0383161
89,9.44887,0.0387483
90,9.45034,0.0398984
91,9.6027,0.0394668
92,9.60663,0.0397967
93,9.67582,0.03671
94,9.69508,0.041435
95,9.72389,0.0323052
96,9.77221,0.0416187
97,9.81926,0.0392484
98,9.99104,0.0379975
99,9.93139,0.0411343
100,9.97472,0.0389801
