Cumulative average, Cumulative square average, error
14.9912,224.736,0
15.0321,225.965,0.0408994
15.0057,225.175,0.0353793
14.9895,224.689,0.0297988
14.9904,224.714,0.0230969
14.9928,224.786,0.0190155
14.9996,224.989,0.0174335
14.9889,224.668,0.0185096
14.9916,224.751,0.0165542
14.9852,224.557,0.0161526
14.9805,224.418,0.0153368
14.9771,224.316,0.0144012
14.9769,224.309,0.0132497
14.9682,224.051,0.0149965
14.9703,224.113,0.0141127
14.9735,224.208,0.0135823
14.9831,224.497,0.0159601
14.9811,224.436,0.0151814
14.9782,224.351,0.0146397
14.976,224.285,0.0140641
14.9795,224.389,0.0138206
14.9792,224.381,0.0131796
14.9787,224.366,0.0126041
14.9779,224.341,0.0120945
14.981,224.434,0.0120023
14.9781,224.348,0.0118807
14.9754,224.267,0.0117515
14.9797,224.396,0.012113
14.9822,224.469,0.0119392
14.9795,224.391,0.0118275
14.9801,224.407,0.0114525
14.9826,224.483,0.0113766
14.9835,224.509,0.0110609
14.9833,224.504,0.0107321
14.982,224.463,0.0105096
14.9811,224.437,0.0102498
14.9806,224.423,0.00997888
14.9814,224.447,0.00974433
14.9812,224.439,0.00949485
14.9764,224.297,0.0104114
14.9791,224.377,0.0105038
14.9761,224.289,0.0106659
14.9757,224.275,0.010426
14.9733,224.203,0.0104644
14.9708,224.131,0.0105112
14.971,224.135,0.0102809
14.9713,224.145,0.0100663
14.9707,224.125,0.00987691
14.972,224.167,0.0097706
14.9735,224.212,0.00969139
14.9729,224.193,0.00952016
14.9735,224.209,0.0093504
14.9726,224.183,0.00921161
14.9711,224.139,0.00915951
14.9712,224.142,0.008992
14.9711,224.138,0.00883106
14.9703,224.114,0.00870957
14.97,224.106,0.00856296
14.9702,224.11,0.00841816
14.9682,224.051,0.00851399
14.968,224.045,0.00837535
14.9682,224.051,0.00824119
14.9664,223.998,0.00829991
14.9682,224.05,0.00835556
14.9669,224.011,0.00833029
14.968,224.045,0.00827912
14.9672,224.023,0.00818815
14.9672,224.02,0.00806726
14.9671,224.02,0.00794949
14.967,224.015,0.00783685
14.9674,224.027,0.00773712
14.9679,224.043,0.00764693
14.9692,224.081,0.00764825
14.9701,224.107,0.00759388
14.9691,224.08,0.00754767
14.9703,224.113,0.00753268
14.972,224.165,0.0076331
14.9718,224.159,0.00753766
14.971,224.134,0.0074867
14.9704,224.116,0.00741807
14.9698,224.098,0.00734927
14.9697,224.095,0.00725971
14.9701,224.108,0.00718414
14.9711,224.137,0.00716473
14.9713,224.144,0.00708367
14.9719,224.163,0.00702988
14.9731,224.197,0.007039
14.9733,224.203,0.00696144
14.9732,224.202,0.00688288
14.9725,224.18,0.00684573
14.9711,224.137,0.00692118
14.9697,224.097,0.00697219
14.9702,224.112,0.00691334
14.9702,224.112,0.0068394
14.971,224.137,0.00681738
14.9709,224.132,0.00674788
14.97,224.105,0.00673872
14.9705,224.119,0.00668733
14.9695,224.09,0.00669279
14.97,224.105,0.0066444
