Cumulative average, Cumulative square average, error
14.9775,224.325,0
15.0089,225.267,0.0313683
14.9769,224.309,0.0367576
14.9877,224.633,0.0281571
14.9689,224.071,0.028806
14.9679,224.04,0.0235421
14.9847,224.545,0.0260656
14.9838,224.516,0.0225931
14.9792,224.38,0.0204404
14.9808,224.427,0.0183504
14.9744,224.236,0.0177777
14.9803,224.412,0.0172545
14.9713,224.144,0.0182303
14.9653,223.964,0.01792
14.9649,223.953,0.0166865
14.9663,223.994,0.0156716
14.9626,223.883,0.0151814
14.9639,223.923,0.0143738
14.9637,223.916,0.0135979
14.9677,224.035,0.013492
14.9637,223.916,0.0134305
14.9592,223.781,0.0135788
14.9603,223.816,0.0130264
14.9643,223.934,0.0130823
14.9655,223.971,0.0126086
14.9651,223.956,0.0121234
14.9639,223.923,0.0117176
14.9658,223.979,0.0114449
14.9678,224.038,0.0112162
14.9643,223.935,0.0113662
14.9662,223.992,0.0111521
14.9687,224.067,0.0110873
14.9688,224.069,0.0107464
14.9678,224.038,0.010476
14.9686,224.062,0.0102017
14.9672,224.019,0.0100146
14.9684,224.055,0.00981473
14.9663,223.995,0.00976351
14.9662,223.989,0.00951173
14.9644,223.937,0.00943149
14.9632,223.901,0.0092783
14.9637,223.915,0.00906731
14.9637,223.915,0.00885393
14.9622,223.869,0.00878485
14.9609,223.833,0.00867532
14.9641,223.929,0.00907074
14.962,223.865,0.00912963
14.9616,223.852,0.00894838
14.9587,223.766,0.0092278
14.9587,223.765,0.00904136
14.9592,223.782,0.0088806
14.959,223.776,0.00871048
14.9601,223.808,0.00860957
14.9605,223.82,0.00845787
14.9618,223.861,0.00841504
14.9616,223.852,0.00826826
14.9622,223.87,0.00814416
14.9616,223.852,0.00802557
14.9618,223.859,0.0078924
14.9616,223.852,0.00776317
14.9618,223.86,0.00763979
14.9609,223.833,0.00757044
14.9623,223.874,0.00757033
14.9622,223.871,0.00745179
14.9633,223.904,0.00741968
14.963,223.895,0.00731165
14.9619,223.861,0.00729168
14.9615,223.85,0.00719403
14.9616,223.852,0.00708953
14.9604,223.817,0.00708425
14.962,223.864,0.00715761
14.9625,223.879,0.00707447
14.9623,223.873,0.00698009
14.9621,223.869,0.00688628
14.9628,223.889,0.00682786
14.9627,223.884,0.00673928
14.9626,223.883,0.00665133
14.9622,223.871,0.00657701
14.9629,223.892,0.00652909
14.9638,223.919,0.00650995
14.9637,223.917,0.00642954
14.9653,223.963,0.00653931
14.9653,223.962,0.00646014
14.9654,223.965,0.00638373
14.9655,223.969,0.00630958
14.9652,223.962,0.00624092
14.9657,223.975,0.00618489
14.9654,223.965,0.00612357
14.9661,223.988,0.00610456
14.9671,224.019,0.00612027
14.9672,224.022,0.00605341
14.9652,223.96,0.0063316
14.965,223.956,0.00626472
14.9643,223.935,0.00623653
14.9646,223.942,0.00617511
14.9652,223.962,0.00614568
14.9658,223.978,0.006105
14.966,223.986,0.00604804
14.9651,223.958,0.00605508
14.9655,223.969,0.0060047
