Cumulative average, Cumulative square average, error
5.44982,29.7005,0
5.46884,29.9086,0.0190223
5.45962,29.8078,0.0143416
5.46805,29.9001,0.0131882
5.45842,29.7951,0.0140414
5.45425,29.7496,0.0121968
5.44834,29.6853,0.0118836
5.44618,29.6616,0.0105168
5.44726,29.6733,0.00933777
5.45104,29.7146,0.00917093
5.4514,29.7184,0.00830287
5.45213,29.7264,0.00761523
5.4553,29.761,0.0076879
5.45456,29.7529,0.00715578
5.45304,29.7363,0.00683287
5.45028,29.7063,0.00696263
5.44677,29.6682,0.00742225
5.44688,29.6693,0.00699859
5.44917,29.6944,0.00700625
5.45001,29.7034,0.00669872
5.44842,29.6862,0.00656636
5.45072,29.7113,0.00666931
5.44854,29.6876,0.00673432
5.45067,29.7109,0.00678979
5.4485,29.6873,0.00686534
5.44993,29.7029,0.00674926
5.45164,29.7216,0.00671684
5.4512,29.7167,0.00648745
5.45014,29.7052,0.00634861
5.45227,29.7285,0.00649164
5.45251,29.7311,0.00628344
5.45311,29.7375,0.00611262
5.45231,29.7288,0.00597758
5.45333,29.74,0.00588842
5.4536,29.7429,0.00572396
5.4542,29.7494,0.0055955
5.45453,29.753,0.00545215
5.45597,29.7687,0.00549692
5.45667,29.7763,0.0053997
5.45765,29.787,0.00535326
5.45651,29.7746,0.00534368
5.4576,29.7865,0.00532728
5.45711,29.7812,0.00522474
5.45662,29.7758,0.00512829
5.45714,29.7815,0.00504001
5.45621,29.7714,0.00501592
5.45626,29.7719,0.00490829
5.45653,29.7748,0.00481238
5.45647,29.7741,0.00471349
5.45572,29.766,0.00467874
5.45529,29.7613,0.00460599
5.45528,29.7611,0.00451657
5.45549,29.7633,0.00443539
5.4559,29.7678,0.00437201
5.45587,29.7675,0.00429186
5.4553,29.7613,0.00425316
5.45505,29.7586,0.00418524
5.45486,29.7564,0.00411707
5.455,29.758,0.00404913
5.45551,29.7636,0.00401405
5.45506,29.7587,0.00397299
5.45497,29.7576,0.00390952
5.45509,29.7589,0.00384877
5.45447,29.7521,0.00383864
5.45461,29.7537,0.00378194
5.45474,29.755,0.00372618
5.45497,29.7576,0.00367765
5.45542,29.7625,0.00365089
5.45538,29.7621,0.00359776
5.45474,29.7551,0.00360331
5.45426,29.7499,0.00358447
5.4543,29.7502,0.00353448
5.45444,29.7518,0.00348855
5.45503,29.7583,0.00349241
5.45573,29.7659,0.00351595
5.45574,29.766,0.00346938
5.45536,29.7619,0.00344451
5.45556,29.764,0.00340575
5.45561,29.7645,0.00336271
5.45648,29.7741,0.003434
5.4567,29.7765,0.00339828
5.45689,29.7786,0.00336198
5.45671,29.7766,0.00332603
5.4571,29.7808,0.00330866
5.45737,29.7838,0.00328119
5.45722,29.7821,0.00324653
5.45693,29.779,0.003222
5.45679,29.7775,0.003188
5.45724,29.7824,0.00318363
5.45705,29.7803,0.00315386
5.45746,29.7847,0.00314551
5.45809,29.7917,0.00317471
5.45777,29.7882,0.00315659
5.45812,29.7919,0.00314179
5.45762,29.7866,0.00314735
5.45748,29.785,0.00311773
5.45793,29.79,0.00311887
5.45769,29.7873,0.00309661
5.45789,29.7895,0.00307197
5.45762,29.7866,0.00305311
