Cumulative average, Cumulative square average, error
5.47947,30.0246,0
5.45246,29.7301,0.0270057
5.46503,29.8674,0.0200265
5.46263,29.8409,0.0143629
5.46755,29.8947,0.0121635
5.4676,29.8952,0.00993158
5.46588,29.8763,0.00856868
5.46288,29.8435,0.00800213
5.46297,29.8444,0.00705769
5.4566,29.7752,0.00896703
5.45637,29.7726,0.00811425
5.45651,29.7741,0.00740868
5.45821,29.7927,0.00702357
5.46008,29.813,0.00676513
5.46133,29.8267,0.0064206
5.45875,29.7986,0.00653523
5.45792,29.7895,0.00619514
5.45578,29.7662,0.00621861
5.45469,29.7543,0.00598317
5.45414,29.7482,0.0057027
5.4552,29.7598,0.00552812
5.45764,29.7866,0.00580764
5.45893,29.8006,0.00569707
5.45834,29.7942,0.00548649
5.45854,29.7963,0.00526628
5.45794,29.7898,0.00509464
5.45937,29.8054,0.00510616
5.45915,29.8029,0.00492557
5.4587,29.798,0.00477389
5.45958,29.8077,0.00469659
5.45979,29.8099,0.0045471
5.45898,29.8011,0.00447583
5.45779,29.7882,0.00449776
5.45752,29.7852,0.00437188
5.45772,29.7873,0.00424962
5.45842,29.795,0.00418925
5.4593,29.8046,0.00416867
5.45908,29.8022,0.00406356
5.45998,29.812,0.00405858
5.45973,29.8092,0.00396392
5.46054,29.8181,0.00395148
5.46002,29.8125,0.00389109
5.45997,29.8119,0.00379984
5.45952,29.8069,0.00374058
5.45941,29.8057,0.00365818
5.45909,29.8022,0.00359164
5.46011,29.8134,0.00366003
5.4596,29.8078,0.0036196
5.46051,29.8178,0.00366065
5.46058,29.8186,0.00358734
5.46092,29.8223,0.00353274
5.46076,29.8205,0.00346794
5.46035,29.816,0.00342621
5.45979,29.8099,0.00340852
5.45977,29.8096,0.00334607
5.46013,29.8137,0.00330633
5.45996,29.8118,0.00325235
5.45988,29.8109,0.00319675
5.45949,29.8067,0.00316608
5.45913,29.8026,0.00313447
5.45953,29.8071,0.00310908
5.45961,29.8079,0.00305949
5.45923,29.8037,0.0030348
5.45913,29.8027,0.00298851
5.45911,29.8024,0.00294224
5.45902,29.8014,0.00289889
5.46016,29.814,0.00307788
5.46011,29.8134,0.00303275
5.46057,29.8184,0.00302348
5.46107,29.824,0.00302236
5.46133,29.8268,0.00299053
5.46214,29.8356,0.00305699
5.46203,29.8344,0.00301687
5.46226,29.837,0.00298509
5.46119,29.8253,0.00313448
5.46052,29.8181,0.00316386
5.46072,29.8202,0.00312849
5.46063,29.8193,0.00308923
5.46141,29.8277,0.00314607
5.46098,29.8231,0.00313534
5.46106,29.824,0.00309753
5.46073,29.8203,0.00307823
5.46086,29.8218,0.00304396
5.46111,29.8245,0.00301771
5.4614,29.8277,0.00299642
5.46123,29.8257,0.00296671
5.46085,29.8216,0.0029565
5.46084,29.8215,0.00292272
5.46081,29.8212,0.00288984
5.46106,29.8239,0.00286817
5.4614,29.8276,0.00285672
5.46187,29.8328,0.00286518
5.46181,29.8322,0.00283481
5.46201,29.8342,0.00281101
5.46202,29.8344,0.00278129
5.46183,29.8323,0.00275886
5.46161,29.8299,0.00273907
5.46122,29.8256,0.00273871
5.46174,29.8313,0.00276041
5.46145,29.8282,0.00274787
