Optimal cost=,6.28319
Generation,BestCost,MeanCost
0,27.0664,48.3858
1,28.5864,47.8866
2,27.8591,47.4793
3,28.0896,46.9922
4,27.9127,46.578
5,27.1927,46.2826
6,27.5727,45.946
7,28.0559,45.5826
8,26.3727,45.3665
9,26.2791,45.0528
10,26.2791,44.8104
11,27.2391,44.5385
12,25.5959,44.2785
13,23.5264,44.0219
14,25.5959,43.7842
15,24.1096,43.5369
16,24.7296,43.2878
17,24.7896,43.0738
18,24.3327,42.7874
19,22.7559,42.5627
20,23.4096,42.3446
21,23.9391,42.1127
22,23.6327,41.8148
23,24.1327,41.5555
24,23.6127,41.2199
25,23.4727,40.8316
26,21.8864,40.5618
27,21.5359,40.2057
28,21.9759,39.8913
29,21.3359,39.4625
30,21.2559,39.1031
31,21.9991,38.7649
32,20.8527,38.3642
33,20.3959,37.9541
34,20.3959,37.5399
35,20.3959,37.1668
36,21.6423,36.8512
37,20.3023,36.4003
38,20.7927,35.9914
39,19.7864,35.6129
40,20.5927,35.2131
41,19.7296,34.7587
42,18.7696,34.3612
43,19.1159,33.9159
44,19.1064,33.4813
45,18.5264,33.1269
46,18.1559,32.6813
47,18.1559,32.2663
48,17.8559,31.9234
49,18.0296,31.5537
50,17.4927,31.1569
51,16.5496,30.7605
52,16.5127,30.3191
53,16.5127,29.9305
54,16.2727,29.5022
55,16.7127,29.0497
56,16.2727,28.6778
57,16.1327,28.313
58,16.1664,27.9786
59,16.2727,27.6838
60,16.3127,27.3442
61,15.3527,27.0824
62,15.3527,26.7688
63,14.8264,26.4725
64,15.5064,26.1436
65,15.5064,25.842
66,14.9264,25.569
67,15.2664,25.3166
68,15.3064,25.0402
69,15.3064,24.819
70,15.1264,24.5666
71,13.1432,24.3203
72,12.5232,24.1005
73,14.0296,23.8488
74,13.7496,23.6241
75,13.9896,23.4247
76,13.9896,23.2654
77,14.3864,23.0488
78,13.9896,22.8572
79,14.1896,22.6364
80,12.8632,22.3904
81,14.0296,22.1771
82,12.8832,21.9669
83,13.0032,21.7188
84,13.5296,21.4951
85,13.5864,21.2674
86,13.3096,21.0595
87,13.5864,20.8621
88,13.5664,20.6746
89,12.5432,20.4941
90,13.0032,20.2572
91,13.5264,20.1212
92,12.6032,19.9387
93,12.6032,19.7561
94,12.7432,19.5724
95,13.0064,19.4088
96,12.9696,19.2195
97,13.1464,19.0403
98,13.2664,18.9009
99,12.9064,18.7446
100,13.0464,18.5722
101,13.0464,18.3974
102,12.4632,18.2603
103,11.7832,18.1515
104,12.1096,18.0236
105,12.1632,17.9209
106,12.0896,17.8207
107,11.8632,17.7189
108,11.9496,17.5963
109,12.1096,17.476
110,12.4496,17.3911
111,11.9896,17.3161
112,12.1296,17.2108
113,12.2496,17.1416
114,12.2096,17.0647
115,12.2496,16.997
116,11.8232,16.9398
117,11.9632,16.8864
118,12.0232,16.8102
119,11.7232,16.7523
120,11.4432,16.6779
121,11.4432,16.5747
122,11.2496,16.4725
123,10.9096,16.3768
124,10.7696,16.2676
125,10.6032,16.1613
126,10.6296,16.0915
127,10.7696,15.9799
128,10.7696,15.8857
129,10.6296,15.7817
130,10.7696,15.682
131,10.7696,15.6
132,10.7696,15.5333
133,10.6296,15.4765
134,10.2096,15.409
135,10.2096,15.3216
136,10.4896,15.2262
137,10.2096,15.1262
138,10.0896,15.0232
139,10.0896,14.8938
140,9.94956,14.823
141,9.94956,14.7596
142,9.94956,14.6593
143,9.94956,14.5454
144,9.94956,14.4425
145,9.94956,14.3582
146,9.94956,14.2647
147,9.32319,14.1375
148,9.62319,14.0142
149,9.34319,13.9251
150,9.62319,13.8363
151,9.62319,13.7212
152,9.48956,13.6111
153,9.52956,13.5242
154,9.62319,13.4418
155,9.62319,13.3372
156,9.94956,13.2223
157,9.26319,13.112
158,9.26319,12.9761
159,9.26319,12.8605
160,9.26319,12.7499
161,9.00319,12.6595
162,9.52956,12.5718
163,9.36956,12.5044
164,9.26319,12.4284
165,9.26319,12.358
166,9.24319,12.3
167,9.00319,12.2147
168,8.72319,12.1497
169,8.72319,12.0969
170,9.00319,12.0475
171,9.00319,11.9806
172,9.00319,11.9257
173,9.00319,11.8955
174,9.00319,11.8637
175,9.00319,11.8275
176,9.00319,11.7881
177,9.00319,11.7572
178,8.76319,11.723
179,8.76319,11.6889
180,8.76319,11.6524
181,8.76319,11.6023
182,9.00319,11.5588
183,9.00319,11.5202
184,8.76319,11.5101
185,9.00319,11.4867
186,9.00319,11.4496
187,9.00319,11.436
188,9.00319,11.4022
189,8.76319,11.4071
190,8.76319,11.3898
191,8.76319,11.3711
