Initial cost=,14.586
Generation,BestCost,MeanCost
0,11.3829,16.0613
1,10.4871,15.9867
2,10.0668,15.9179
3,10.9307,15.8311
4,10.1847,15.7662
5,9.92157,15.7189
6,10.1548,15.6622
7,10.3733,15.6007
8,10.6925,15.5599
9,10.6329,15.4996
10,10.5566,15.4588
11,10.744,15.4086
12,10.335,15.3662
13,10.6343,15.3095
14,10.6985,15.263
15,10.4753,15.213
16,9.99657,15.1742
17,10.0931,15.1323
18,10.173,15.0911
19,10.4761,15.0659
20,10.2282,15.037
21,9.47073,15.0064
22,9.60634,14.9639
23,10.0223,14.9391
24,10.3402,14.882
25,9.55574,14.8289
26,9.6706,14.8096
27,9.58544,14.7764
28,9.76631,14.7466
29,9.76006,14.6884
30,10.199,14.652
31,10.0697,14.6173
32,9.78342,14.5607
33,10.0134,14.5148
34,9.18325,14.4652
35,9.12163,14.4246
36,9.61013,14.4051
37,9.3542,14.3439
38,9.04346,14.2977
39,8.83363,14.2738
40,8.98441,14.22
41,8.91374,14.1565
42,8.87867,14.1066
43,8.95395,14.0497
44,8.97338,13.9922
45,9.14699,13.9436
46,9.06253,13.8658
47,8.83895,13.8101
48,9.15102,13.7696
49,9.01992,13.7189
50,9.01336,13.6659
51,8.77869,13.6052
52,8.90146,13.5347
53,8.39229,13.4587
54,8.50674,13.3778
55,8.76116,13.2866
56,8.42129,13.2199
57,8.45983,13.1357
58,8.46092,13.0573
59,8.3975,12.9894
60,8.32283,12.908
61,8.34964,12.8454
62,8.2028,12.772
63,8.17373,12.6957
64,8.18058,12.6067
65,8.30011,12.5208
66,8.19029,12.4496
67,7.87009,12.375
68,7.96637,12.2925
69,7.68643,12.2263
70,7.81252,12.1448
71,7.25003,12.0681
72,7.68548,11.997
73,7.27579,11.9206
74,7.39491,11.8483
75,7.34803,11.7767
76,7.13702,11.7204
77,7.31924,11.6462
78,7.31335,11.5672
79,7.22736,11.4891
80,6.87039,11.3928
81,7.15355,11.3127
82,6.90149,11.2366
83,6.93672,11.1542
84,6.75471,11.0787
85,6.79879,11.0045
86,6.9287,10.9365
87,6.80425,10.8685
88,6.80425,10.8015
89,7.05011,10.745
90,6.87189,10.6673
91,6.65797,10.63
92,6.43123,10.5702
93,6.74324,10.5068
94,6.78008,10.4358
95,6.73455,10.3776
96,6.26516,10.31
97,6.39254,10.2376
98,6.18722,10.1838
99,6.465,10.1222
100,6.13341,10.0529
101,6.11574,9.98138
102,6.372,9.91224
103,6.28363,9.85409
104,6.08947,9.78854
105,6.16,9.73899
106,6.26239,9.69056
107,6.46529,9.64255
108,6.45781,9.58127
109,6.25913,9.52059
110,6.35926,9.47407
111,6.218,9.43007
112,6.16903,9.37543
113,6.19094,9.33791
114,6.06486,9.30071
115,5.78603,9.25718
116,5.78603,9.22564
117,5.9723,9.18935
118,5.93834,9.16218
119,6.17106,9.13191
120,6.09449,9.09721
121,6.09449,9.05855
122,6.28934,9.02031
123,6.09756,8.98339
124,6.07071,8.93869
125,6.12648,8.88679
126,6.00082,8.85405
127,5.976,8.8066
128,6.01227,8.76415
129,6.06045,8.72364
130,6.08291,8.68918
131,5.81849,8.64945
132,6.03836,8.62869
133,5.92961,8.59835
134,5.83606,8.57222
135,5.83964,8.539
136,5.84413,8.49822
137,5.94887,8.46487
138,5.81332,8.43261
139,5.92523,8.38403
140,5.8656,8.3612
141,5.72018,8.34533
142,5.49129,8.31542
143,5.6118,8.27497
144,5.629,8.24281
145,5.65464,8.22184
146,5.54153,8.19615
147,5.51938,8.15145
148,5.51938,8.11114
149,5.51938,8.09176
150,5.51938,8.06972
151,5.54306,8.03078
152,5.58006,8.00136
153,5.62525,7.97929
154,5.46109,7.95954
155,5.65682,7.92674
156,5.53796,7.90072
157,5.58357,7.87143
158,5.60433,7.83166
159,5.56011,7.7992
160,5.49918,7.76645
161,5.46109,7.73785
162,5.5838,7.71926
163,5.46109,7.70035
164,5.43524,7.66844
165,5.51277,7.64381
166,5.48271,7.61812
167,5.43524,7.59252
168,5.44975,7.56393
169,5.44139,7.54478
170,5.44975,7.52694
171,5.26822,7.48847
172,5.33482,7.46296
173,5.37748,7.4443
174,5.33992,7.41719
175,5.32696,7.39388
176,5.26822,7.36054
177,5.29272,7.33584
178,5.26822,7.30867
179,5.33482,7.2793
180,5.26822,7.244
181,5.26822,7.20652
182,5.26822,7.16749
183,5.24825,7.13208
184,5.24825,7.11187
185,5.26822,7.08308
186,5.19103,7.04816
187,5.18593,7.0218
188,5.26822,6.98624
189,5.24825,6.96669
190,5.24315,6.94286
191,5.18953,6.91384
192,5.0549,6.89357
193,5.24315,6.86277
194,5.11581,6.82402
195,5.21917,6.79839
196,5.16342,6.76718
197,5.15591,6.72782
198,5.14542,6.70021
199,5.14031,6.67591
200,5.14031,6.64659
201,5.14031,6.6132
202,5.14031,6.5843
203,5.11581,6.55961
204,5.03384,6.53049
205,5.14031,6.49741
206,4.98474,6.47101
207,4.84879,6.44581
208,4.84879,6.41403
209,4.95505,6.39252
210,4.82939,6.37257
211,5.0334,6.35129
212,5.03214,6.32871
213,5.03214,6.29913
214,5.06327,6.27974
215,4.8539,6.26011
216,4.84879,6.24936
217,4.98481,6.23014
218,5.03401,6.20989
219,4.93901,6.1954
220,4.96954,6.17653
221,5.03841,6.16375
222,5.03401,6.14616
223,5.03401,6.14053
224,4.9339,6.12196
225,4.9339,6.0958
226,4.9339,6.08644
227,4.9339,6.07026
228,4.9339,6.05637
229,4.9339,6.04068
230,4.9339,6.02741
231,4.89691,6.01362
232,4.8918,6.01152
233,4.8673,6.00025
234,4.8673,5.98291
235,4.8673,5.96889
236,4.8673,5.96259
237,4.8724,5.94441
238,4.8724,5.92259
239,4.8724,5.91378
240,4.8673,5.90027
241,4.8673,5.89806
242,4.8724,5.88802
243,4.8724,5.88336
244,4.8724,5.86896
245,4.8673,5.85868
246,4.8673,5.8442
247,4.8724,5.83222
248,4.8673,5.82126
249,4.8673,5.8144
250,4.8673,5.8029
251,4.8673,5.80776
252,4.8673,5.79914
253,4.8673,5.79514
254,4.8724,5.78114
255,4.8724,5.77744
256,4.8724,5.77085
257,4.8673,5.76079
258,4.8673,5.75256
259,4.8673,5.74471
260,4.8673,5.73602
261,4.8673,5.72755
262,4.85984,5.72691
263,4.85984,5.71547
264,4.85984,5.71669
265,4.85984,5.70958
266,4.85984,5.69769
267,4.79015,5.69992
268,4.85984,5.68869
269,4.8306,5.68201
270,4.77163,5.67641
271,4.86336,5.67195
272,4.86336,5.66792
273,4.86336,5.66674
274,4.85438,5.67436
275,4.85438,5.67207
276,4.86336,5.67179
277,4.86336,5.67044
278,4.86336,5.674
279,4.79324,5.66805
280,4.85221,5.66622
281,4.8673,5.66813
282,4.8673,5.66321
283,4.8673,5.65569
284,4.8673,5.6545
285,4.8673,5.65065
286,4.86268,5.65132
287,4.86268,5.64001
288,4.8673,5.63666
289,4.86268,5.64061
290,4.86415,5.63469
291,4.83393,5.63541
292,4.86268,5.63303
293,4.8673,5.63418
294,4.8673,5.62812
295,4.85379,5.62122
296,4.85379,5.6133
297,4.71948,5.60464
298,4.84488,5.59674
299,4.84998,5.60335
300,4.81099,5.6018
301,4.75202,5.60245
302,4.79324,5.60224
303,4.75202,5.60706
304,4.75202,5.59752
305,4.75202,5.59373
306,4.75202,5.58905
307,4.75202,5.58204
308,4.75202,5.58467
309,4.75202,5.58427
310,4.75202,5.5779
311,4.75202,5.57278
312,4.75202,5.5723
313,4.75202,5.56303
314,4.75202,5.55746
315,4.81099,5.55608
316,4.75202,5.54939
317,4.75202,5.53854
318,4.75202,5.53262
